Provincias,Año,Mes,Turistas_totales,Turistas_pasados,lag_estacional,lag_1,lag_2,lag_3,lag_4,log_ratio,log_lag_1,log_lag_2,log_lag_3,log_lag_4,log_lag_estacional,media_lag_2,media_lag_3,tendencia_corta
Toledo,2008,5,20599.0,16604.0,20189.0,16604.0,14772.0,16533.0,20189.0,0.21559890073713817,9.717459133810847,9.600556469321608,9.713174145812621,9.912942711306883,9.912942711306883,9.659007801566228,9.677063249648358,0.11690266448923836
Toledo,2008,6,15716.0,20599.0,16533.0,20599.0,16604.0,14772.0,16533.0,-0.2705632292317173,9.933046354777673,9.717459133810847,9.600556469321608,9.713174145812621,9.713174145812621,9.82525274429426,9.750353985970044,0.21558722096682637
Toledo,2008,7,15881.0,15716.0,14772.0,15716.0,20599.0,16604.0,14772.0,0.010444124432295254,9.662498208076329,9.933046354777673,9.717459133810847,9.600556469321608,9.600556469321608,9.797772281427001,9.771001232221616,-0.2705481467013442
Toledo,2008,8,19006.0,15881.0,16604.0,15881.0,15716.0,20599.0,16604.0,0.1796312926606145,9.672941671455156,9.662498208076329,9.933046354777673,9.717459133810847,9.717459133810847,9.667719939765743,9.756162078103053,0.010443463378827289
Toledo,2009,5,19272.0,19006.0,20599.0,19006.0,15881.0,15716.0,20599.0,0.013898546523446242,9.852562611350837,9.672941671455156,9.662498208076329,9.933046354777673,9.933046354777673,9.762752141402997,9.72933416362744,0.17962093989568118
Toledo,2009,6,12580.0,19272.0,15716.0,19272.0,19006.0,15881.0,15716.0,-0.42654501404027556,9.866460431699052,9.852562611350837,9.672941671455156,9.662498208076329,9.662498208076329,9.859511521524944,9.797321571501682,0.013897820348214296
Toledo,2009,7,15658.0,12580.0,15881.0,12580.0,19272.0,19006.0,15881.0,0.21887371721342852,9.439943018351132,9.866460431699052,9.852562611350837,9.672941671455156,9.672941671455156,9.653201725025092,9.71965535380034,-0.4265174133479199
Toledo,2009,8,17786.0,15658.0,19006.0,15658.0,12580.0,19272.0,19006.0,0.12742966249172483,9.658801110545443,9.439943018351132,9.866460431699052,9.852562611350837,9.852562611350837,9.549372064448288,9.65506818686521,0.21885809219431174
Toledo,2010,5,20755.0,17786.0,19272.0,17786.0,15658.0,12580.0,19272.0,0.15437555052755414,9.786223132375477,9.658801110545443,9.439943018351132,9.866460431699052,9.866460431699052,9.722512121460461,9.628322420424018,0.12742202183003393
Toledo,2010,6,16129.0,20755.0,12580.0,20755.0,17786.0,15658.0,12580.0,-0.25216828756995646,9.94059064048763,9.786223132375477,9.658801110545443,9.439943018351132,9.439943018351132,9.863406886431553,9.795204961136184,0.15436750811215205
Toledo,2010,7,20187.0,16129.0,15658.0,16129.0,20755.0,17786.0,15658.0,0.2244199389392456,9.688436171119255,9.94059064048763,9.786223132375477,9.658801110545443,9.658801110545443,9.814513405803442,9.805083314660786,-0.2521544693683744
Toledo,2010,8,19033.0,20187.0,17786.0,20187.0,16129.0,20755.0,17786.0,-0.0588645181686438,9.912843647460154,9.688436171119255,9.94059064048763,9.786223132375477,9.786223132375477,9.800639909289703,9.847290153022344,0.22440747634089853
Toledo,2011,5,21622.0,19033.0,20755.0,19033.0,20187.0,16129.0,20755.0,0.1275370001649332,9.85398213263229,9.912843647460154,9.688436171119255,9.94059064048763,9.94059064048763,9.883412890046221,9.8184206504039,-0.05886151482786417
Toledo,2011,6,18547.0,21622.0,16129.0,21622.0,19033.0,20187.0,16129.0,-0.15340326396342974,9.981512841973895,9.85398213263229,9.912843647460154,9.688436171119255,9.688436171119255,9.917747487303092,9.916112874022113,0.12753070934160604
Toledo,2011,7,20576.0,18547.0,20187.0,18547.0,21622.0,19033.0,20187.0,0.10381729714805843,9.82811724551135,9.981512841973895,9.85398213263229,9.912843647460154,9.912843647460154,9.904815043742623,9.887870740039178,-0.15339559646254486
Toledo,2011,8,19535.0,20576.0,19033.0,20576.0,18547.0,21622.0,19033.0,-0.051917619548175864,9.931929226167432,9.82811724551135,9.981512841973895,9.85398213263229,9.85398213263229,9.880023235839392,9.913853104550894,0.1038119806560811
Toledo,2012,5,21014.0,19535.0,21622.0,19535.0,20576.0,18547.0,21622.0,0.0729811537595495,9.880014196350485,9.931929226167432,9.82811724551135,9.981512841973895,9.981512841973895,9.905971711258958,9.880020222676423,-0.0519150298169464
Toledo,2012,6,20075.0,21014.0,18547.0,21014.0,19535.0,20576.0,18547.0,-0.045713622433757095,9.952991747439217,9.880014196350485,9.931929226167432,9.82811724551135,9.82811724551135,9.91650297189485,9.921645056652379,0.07297755108873183
Toledo,2012,7,18530.0,20075.0,20576.0,20075.0,21014.0,19535.0,20576.0,-0.08008421953555711,9.907280350774824,9.952991747439217,9.880014196350485,9.931929226167432,9.931929226167432,9.93013604910702,9.913428764854842,-0.04571139666439272
Toledo,2012,8,18301.0,18530.0,19535.0,18530.0,20075.0,21014.0,19535.0,-0.012435337134123259,9.82720028436401,9.907280350774824,9.952991747439217,9.880014196350485,9.880014196350485,9.867240317569417,9.895824127526017,-0.08008006641081522
Toledo,2013,5,20802.0,18301.0,21014.0,18301.0,18530.0,20075.0,21014.0,0.1280934327677965,9.814765622475324,9.82720028436401,9.907280350774824,9.952991747439217,9.952991747439217,9.820982953419666,9.849748752538053,-0.012434661888685028
Toledo,2013,6,17733.0,20802.0,20075.0,20802.0,18301.0,18530.0,20075.0,-0.159621825420599,9.942852486058383,9.814765622475324,9.82720028436401,9.907280350774824,9.907280350774824,9.878809054266853,9.861606130965905,0.12808686358305899
Toledo,2013,7,17435.0,17733.0,18530.0,17733.0,20802.0,18301.0,18530.0,-0.016947630382727397,9.783238979939952,9.942852486058383,9.814765622475324,9.82720028436401,9.82720028436401,9.863045732999169,9.846952362824554,-0.15961350611843095
Toledo,2013,8,19832.0,17435.0,18301.0,17435.0,17733.0,20802.0,18301.0,0.12881711460527434,9.766292313358283,9.783238979939952,9.942852486058383,9.814765622475324,9.814765622475324,9.774765646649119,9.830794593118874,-0.01694666658166888
Toledo,2014,5,26036.0,19832.0,20802.0,19832.0,17435.0,17733.0,20802.0,0.27218340097725147,9.895102496001687,9.766292313358283,9.783238979939952,9.942852486058383,9.942852486058383,9.830697404679984,9.81487792976664,0.12881018264340405
Toledo,2014,6,19701.0,26036.0,17733.0,26036.0,19832.0,17435.0,17733.0,-0.27881079983319523,10.167273882312355,9.895102496001687,9.766292313358283,9.783238979939952,9.783238979939952,10.031188189157021,9.942889563890775,0.2721713863106672
Toledo,2014,7,22089.0,19701.0,17435.0,19701.0,26036.0,19832.0,17435.0,0.11441035117774412,9.888475432415625,10.167273882312355,9.895102496001687,9.766292313358283,9.766292313358283,10.02787465736399,9.983617270243222,-0.27879844989672975
Toledo,2014,8,23564.0,22089.0,19832.0,22089.0,19701.0,26036.0,19832.0,0.06464037660475164,10.002880296414164,9.888475432415625,10.167273882312355,9.895102496001687,9.895102496001687,9.945677864414893,10.019543203714047,0.11440486399853889
Toledo,2015,5,23633.0,23564.0,26036.0,23564.0,22089.0,19701.0,26036.0,0.0029239167387071774,10.067517839357832,10.002880296414164,9.888475432415625,10.167273882312355,10.167273882312355,10.035199067885998,9.986291189395873,0.06463754294366808
Toledo,2015,6,19880.0,23633.0,19701.0,23633.0,23564.0,22089.0,19701.0,-0.17292983916972027,10.07044163219896,10.067517839357832,10.002880296414164,9.888475432415625,9.888475432415625,10.068979735778395,10.046946589323651,0.0029237928411287584
Toledo,2015,7,22225.0,19880.0,22089.0,19880.0,23633.0,23564.0,22089.0,0.11150358017154005,9.897519780756337,10.07044163219896,10.067517839357832,10.002880296414164,10.002880296414164,9.983980706477649,10.01182641743771,-0.17292185144262362
Toledo,2015,8,20830.0,22225.0,23564.0,22225.0,19880.0,23633.0,23564.0,-0.0648235261270873,10.009018053745592,9.897519780756337,10.07044163219896,10.067517839357832,10.067517839357832,9.953268917250965,9.992326488900297,0.1114982729892553
Toledo,2016,5,28245.0,20830.0,23633.0,20830.0,22225.0,19880.0,23633.0,0.3045221955043438,9.944197540783914,10.009018053745592,9.897519780756337,10.07044163219896,10.07044163219896,9.976607797264753,9.95024512509528,-0.06482051296167768
Toledo,2016,6,21724.0,28245.0,19880.0,28245.0,20830.0,22225.0,19880.0,-0.262498810604626,10.24870713362901,9.944197540783914,10.009018053745592,9.897519780756337,9.897519780756337,10.096452337206461,10.067307576052839,0.30450959284509516
Toledo,2016,7,20855.0,21724.0,22225.0,21724.0,28245.0,20830.0,22225.0,-0.04082391252369,9.986218950133592,10.24870713362901,9.944197540783914,10.009018053745592,10.009018053745592,10.117463041881301,10.059707874848838,-0.26248818349541736
Toledo,2016,8,22852.0,20855.0,20830.0,20855.0,21724.0,28245.0,20830.0,0.09144491321330683,9.945396955613338,9.986218950133592,10.24870713362901,9.944197540783914,9.944197540783914,9.965807952873465,10.060107679791981,-0.040821994520253924
Toledo,2017,5,27862.0,22852.0,28245.0,22852.0,20855.0,21724.0,28245.0,0.19822511242181662,10.036837678732885,9.945396955613338,9.986218950133592,10.24870713362901,10.24870713362901,9.991117317173112,9.98948452815994,0.09144072311954687
Toledo,2017,6,24941.0,27862.0,21724.0,27862.0,22852.0,20855.0,21724.0,-0.1107507176050202,10.235054922800046,10.036837678732885,9.945396955613338,9.986218950133592,9.986218950133592,10.135946300766467,10.072429852382092,0.1982172440671608
Toledo,2017,7,24463.0,24941.0,20855.0,24941.0,27862.0,22852.0,20855.0,-0.01935126371756546,10.124308408480692,10.235054922800046,10.036837678732885,9.945396955613338,9.945396955613338,10.17968166564037,10.132067003337875,-0.110746514319354
Toledo,2017,8,23904.0,24463.0,22852.0,24463.0,24941.0,27862.0,22852.0,-0.023115963011040463,10.104957928168844,10.124308408480692,10.235054922800046,10.036837678732885,10.036837678732885,10.114633168324769,10.154773753149861,-0.019350480311848273
Toledo,2018,5,27025.0,23904.0,27862.0,23904.0,24463.0,24941.0,27862.0,0.12271655457486474,10.081842921060204,10.104957928168844,10.124308408480692,10.235054922800046,10.235054922800046,10.093400424614524,10.103703085903247,-0.023115007108639674
Toledo,2018,6,23844.0,27025.0,24941.0,27025.0,23904.0,24463.0,24941.0,-0.1252297501675912,10.204554644598032,10.081842921060204,10.104957928168844,10.124308408480692,10.124308408480692,10.143198782829117,10.130451831275693,0.12271172353782767
Toledo,2018,7,23264.0,23844.0,24463.0,23844.0,27025.0,23904.0,24463.0,-0.024625512006570816,10.079329830732325,10.204554644598032,10.081842921060204,10.104957928168844,10.104957928168844,10.141942237665178,10.121909132130186,-0.1252248138657066
Toledo,2018,8,25169.0,23264.0,23904.0,23264.0,23844.0,27025.0,23904.0,0.07870597716975603,10.05470536427875,10.079329830732325,10.204554644598032,10.081842921060204,10.081842921060204,10.067017597505536,10.112863279869702,-0.024624466453575522
Toledo,2019,5,29841.0,25169.0,27025.0,25169.0,23264.0,23844.0,27025.0,0.17027020831752182,10.133408088129361,10.05470536427875,10.079329830732325,10.204554644598032,10.204554644598032,10.094056726204055,10.089147761046812,0.07870272385061128
Toledo,2019,6,26520.0,29841.0,23844.0,29841.0,25169.0,23264.0,23844.0,-0.1179841215207258,10.303672076200368,10.133408088129361,10.05470536427875,10.079329830732325,10.079329830732325,10.218540082164864,10.16392850953616,0.17026398807100662
Toledo,2019,7,24818.0,26520.0,23264.0,26520.0,29841.0,25169.0,23264.0,-0.06632996896523302,10.185692150979541,10.303672076200368,10.133408088129361,10.05470536427875,10.05470536427875,10.244682113589954,10.207590771769757,-0.11797992522082623
Toledo,2019,8,26444.0,24818.0,25169.0,24818.0,26520.0,29841.0,25169.0,0.06346009311890377,10.119364767858293,10.185692150979541,10.303672076200368,10.133408088129361,10.133408088129361,10.152528459418917,10.202909665012735,-0.06632738312124786
Toledo,2020,5,37.0,26444.0,29841.0,26444.0,24818.0,26520.0,29841.0,-6.571866655809245,10.18282238350008,10.119364767858293,10.185692150979541,10.303672076200368,10.303672076200368,10.151093575679187,10.162626434112639,0.06345761564178609
Toledo,2020,6,605.0,37.0,26520.0,37.0,26444.0,24818.0,26520.0,2.7943105453866175,3.6375861597263857,10.18282238350008,10.119364767858293,10.185692150979541,10.185692150979541,6.910204271613233,7.979924437028252,-6.545236223773694
Toledo,2020,7,4246.0,605.0,24818.0,605.0,37.0,26444.0,24818.0,1.9485041842323598,6.406879986069314,3.6375861597263857,10.18282238350008,10.119364767858293,10.119364767858293,5.0222330728978495,6.742429509765259,2.7692938263429285
Toledo,2020,8,4712.0,4246.0,26444.0,4246.0,605.0,37.0,26444.0,0.10413508306822017,8.353968130313271,6.406879986069314,3.6375861597263857,10.18282238350008,10.18282238350008,7.380424058191293,6.132811425369657,1.9470881442439572
Toledo,2021,5,3345.0,4712.0,37.0,4712.0,4246.0,605.0,37.0,-0.3426457527690925,8.45807992692373,8.353968130313271,6.406879986069314,3.6375861597263857,3.6375861597263857,8.4060240286185,7.739642681102104,0.104111796610459
Toledo,2021,6,5528.0,3345.0,605.0,3345.0,4712.0,4246.0,605.0,0.5023593928851771,8.11552088154677,8.45807992692373,8.353968130313271,6.406879986069314,6.406879986069314,8.286800404235251,8.309189646261258,-0.34255904537696047
Toledo,2021,7,9149.0,5528.0,4246.0,5528.0,3345.0,4712.0,4246.0,0.5038184972320288,8.617762246337932,8.11552088154677,8.45807992692373,8.353968130313271,8.353968130313271,8.366641563942352,8.397121018269479,0.5022413647911623
Toledo,2021,8,11271.0,9149.0,4712.0,9149.0,5528.0,3345.0,4712.0,0.20858847156254257,9.121509158269568,8.617762246337932,8.11552088154677,8.45807992692373,8.45807992692373,8.86963570230375,8.618264095384758,0.5037469119316356
Toledo,2022,5,16296.0,11271.0,3345.0,11271.0,9149.0,5528.0,3345.0,0.36868662366456384,9.330077053578517,9.121509158269568,8.617762246337932,8.11552088154677,8.11552088154677,9.225793105924042,9.023116152728672,0.20856789530894915
