Provincias,Año,Mes,Turistas_totales
Albacete,2021,4,949.0
Albacete,2021,5,1689.0
Albacete,2021,6,1781.0
Albacete,2021,7,1904.0
Albacete,2021,8,2407.0
Albacete,2021,9,2961.0
Albacete,2021,10,2984.0
Albacete,2021,11,2735.0
Albacete,2021,12,1812.0
Albacete,2022,1,1525.0
Albacete,2022,2,2755.0
Albacete,2022,3,2440.0
Albacete,2022,4,3040.0
Albacete,2022,5,3871.0
Albacete,2022,6,3350.0
Albacete,2022,7,3624.0
Albacete,2022,8,4218.0
Albacete,2022,9,3715.0
Albacete,2022,10,3847.0
Albacete,2022,11,3848.0
Albacete,2022,12,2356.0
Albacete,2023,1,2386.0
Albacete,2023,2,2390.0
Albacete,2023,3,3176.0
Albacete,2023,4,3306.0
Albacete,2023,5,4148.0
Albacete,2023,6,3688.0
Albacete,2023,7,3908.0
Albacete,2023,8,4117.0
Albacete,2023,9,4246.0
Albacete,2023,10,3958.0
Albacete,2023,11,2872.0
Albacete,2023,12,2619.0
Albacete,2024,1,2229.0
Albacete,2024,2,2475.0
Albacete,2024,3,4141.0
Albacete,2024,4,4132.0
Albacete,2024,5,4810.0
Albacete,2024,6,3916.0
Albacete,2024,7,3825.0
Albacete,2024,8,4375.0
Albacete,2024,9,4388.0
Albacete,2024,10,4890.0
Albacete,2024,11,4451.0
Albacete,2024,12,3281.0
Albacete,2025,1,3571.0
Albacete,2025,2,3890.0
Albacete,2025,3,4128.0
Albacete,2025,4,4954.0
Albacete,2025,5,5340.0
Albacete,2025,6,4138.0
Albacete,2025,7,4750.0
Albacete,2025,8,4618.0
Albacete,2025,9,5140.0
Alicante/Alacant,1999,1,63712.0
Alicante/Alacant,1999,2,76523.0
Alicante/Alacant,1999,3,75072.0
Alicante/Alacant,1999,4,81192.0
Alicante/Alacant,1999,5,100049.0
Alicante/Alacant,1999,6,94249.0
Alicante/Alacant,1999,7,102815.0
Alicante/Alacant,1999,8,107668.0
Alicante/Alacant,1999,9,132237.0
Alicante/Alacant,1999,10,108379.0
Alicante/Alacant,1999,11,88361.0
Alicante/Alacant,1999,12,68639.0
Alicante/Alacant,2000,1,60731.0
Alicante/Alacant,2000,2,71692.0
Alicante/Alacant,2000,3,81273.0
Alicante/Alacant,2000,4,84426.0
Alicante/Alacant,2000,5,98710.0
Alicante/Alacant,2000,6,87936.0
Alicante/Alacant,2000,7,92193.0
Alicante/Alacant,2000,8,94817.0
Alicante/Alacant,2000,9,103687.0
Alicante/Alacant,2000,10,95688.0
Alicante/Alacant,2000,11,76606.0
Alicante/Alacant,2000,12,53303.0
Alicante/Alacant,2001,1,64657.0
Alicante/Alacant,2001,2,64277.0
Alicante/Alacant,2001,3,82423.0
Alicante/Alacant,2001,4,84797.0
Alicante/Alacant,2001,5,101802.0
Alicante/Alacant,2001,6,99264.0
Alicante/Alacant,2001,7,88151.0
Alicante/Alacant,2001,8,90312.0
Alicante/Alacant,2001,9,94548.0
Alicante/Alacant,2001,10,87025.0
Alicante/Alacant,2001,11,74926.0
Alicante/Alacant,2001,12,86155.0
Alicante/Alacant,2002,1,60812.0
Alicante/Alacant,2002,2,66438.0
Alicante/Alacant,2002,3,89572.0
Alicante/Alacant,2002,4,89132.0
Alicante/Alacant,2002,5,98155.0
Alicante/Alacant,2002,6,89625.0
Alicante/Alacant,2002,7,89519.0
Alicante/Alacant,2002,8,94046.0
