ID,Total_nacional,Comunidades_ciudades_autonomas,Provincias,Tipo_turista,Turistas_totales,Año,Mes,Temporada,Outliers_zscore
62879861183602719,No aplica,Andalucía,Almería,Viajero,28137.0,2015,6,Verano,False
3621642649647563276,No aplica,Andalucía,Almería,Viajero,22565.0,2015,5,Primavera,False
-3334460325240727989,No aplica,Andalucía,Almería,Viajero,15769.0,2015,4,Primavera,False
6044029484952389217,No aplica,Andalucía,Almería,Viajero,11571.0,2015,3,Primavera,False
-1139440656547989883,No aplica,Andalucía,Almería,Viajero,8443.0,2015,2,Invierno,False
2402896062776348613,No aplica,Andalucía,Almería,Viajero,7676.0,2015,1,Invierno,False
-5133333579471095369,No aplica,Andalucía,Almería,Viajero,8166.0,2014,12,Invierno,False
-8382835318375960943,No aplica,Andalucía,Almería,Viajero,8981.0,2014,11,Otoño,False
8103566409397660165,No aplica,Andalucía,Almería,Viajero,21669.0,2014,10,Otoño,False
4690088938387592234,No aplica,Andalucía,Almería,Viajero,32959.0,2014,9,Otoño,False
-8232782074470235256,No aplica,Andalucía,Almería,Viajero,34150.0,2014,8,Verano,False
-4010160214918275033,No aplica,Andalucía,Almería,Viajero,31185.0,2014,7,Verano,False
2007026180578900531,No aplica,Andalucía,Almería,Viajero,27245.0,2014,6,Verano,False
905537152252402618,No aplica,Andalucía,Almería,Viajero,21148.0,2014,5,Primavera,False
6886911062031748473,No aplica,Andalucía,Almería,Viajero,16817.0,2014,4,Primavera,False
-35092386919306833,No aplica,Andalucía,Almería,Viajero,10023.0,2014,3,Primavera,False
1658773822323172233,No aplica,Andalucía,Almería,Viajero,7839.0,2014,2,Invierno,False
-2386890518521545248,No aplica,Andalucía,Almería,Viajero,6939.0,2014,1,Invierno,False
8190151888318419271,No aplica,Andalucía,Almería,Viajero,6539.0,2013,12,Invierno,False
-4850359868909695687,No aplica,Andalucía,Almería,Viajero,7495.0,2013,11,Otoño,False
-5999868482658795611,No aplica,Andalucía,Almería,Viajero,18499.0,2013,10,Otoño,False
-2504684204893131110,No aplica,Andalucía,Almería,Viajero,28040.0,2013,9,Otoño,False
-8020856858235908948,No aplica,Andalucía,Almería,Viajero,33347.0,2013,8,Verano,False
3255960567037506661,No aplica,Andalucía,Almería,Viajero,29821.0,2013,7,Verano,False
-4208924560132173441,No aplica,Andalucía,Almería,Viajero,26661.0,2013,6,Verano,False
3027964631143388469,No aplica,Andalucía,Almería,Viajero,23113.0,2013,5,Primavera,False
-2227420480949185180,No aplica,Andalucía,Almería,Viajero,12449.0,2013,4,Primavera,False
-2781439255090814050,No aplica,Andalucía,Almería,Viajero,10947.0,2013,3,Primavera,False
8486674550940710227,No aplica,Andalucía,Almería,Viajero,7344.0,2013,2,Invierno,False
-2018405792365775083,No aplica,Andalucía,Almería,Viajero,6361.0,2013,1,Invierno,False
4835113504863851675,No aplica,Andalucía,Almería,Viajero,5625.0,2012,12,Invierno,False
-2877176236765663951,No aplica,Andalucía,Almería,Viajero,6894.0,2012,11,Otoño,False
