Provincias,Año,Mes,Turistas_totales,Turistas_pasados,lag_estacional,lag_1,lag_2,lag_3,lag_4,log_ratio,log_lag_1,log_lag_2,log_lag_3,log_lag_4,log_lag_estacional,media_lag_2,media_lag_3,tendencia_corta
Melilla,2026,7,,,2151.0,,3502.0,2151.0,1075.0,,,8.161375023197486,7.674152921281675,6.98100574072173,7.674152921281675,,,
Melilla,2026,8,,,3502.0,,,3502.0,2151.0,,,,8.161375023197486,7.674152921281675,8.161375023197486,,,
Murcia,2026,6,,50828.0,31048.0,50828.0,47139.0,31048.0,47067.0,,10.836222336826216,10.760877176490123,10.343321880723835,10.75934864358382,10.343321880723835,10.798549756658169,10.646807131346725,0.07534516033609329
Murcia,2026,7,,,47139.0,,50828.0,47139.0,31048.0,,,10.836222336826216,10.760877176490123,10.343321880723835,10.760877176490123,,,
Murcia,2026,8,,,50828.0,,,50828.0,47139.0,,,,10.836222336826216,10.760877176490123,10.836222336826216,,,
Málaga,2026,6,,431017.0,417759.0,431017.0,405053.0,417759.0,407909.0,,12.973905131554888,12.911775670533912,12.942662383932955,12.918801840817842,12.942662383932955,12.9428404010444,12.942781062007251,0.062129461020976606
Málaga,2026,7,,,405053.0,,431017.0,405053.0,417759.0,,,12.973905131554888,12.911775670533912,12.942662383932955,12.911775670533912,,,
Málaga,2026,8,,,431017.0,,,431017.0,405053.0,,,,12.973905131554888,12.911775670533912,12.973905131554888,,,
Navarra,2026,6,,45982.0,32951.0,45982.0,37415.0,32951.0,44852.0,,10.736027041947786,10.529853699405722,10.402807236115917,10.711145754882038,10.402807236115917,10.632940370676753,10.556229325823141,0.20617334254206376
Navarra,2026,7,,,37415.0,,45982.0,37415.0,32951.0,,,10.736027041947786,10.529853699405722,10.402807236115917,10.529853699405722,,,
Navarra,2026,8,,,45982.0,,,45982.0,37415.0,,,,10.736027041947786,10.529853699405722,10.736027041947786,,,
Ourense,2026,6,,6311.0,5852.0,6311.0,4120.0,5852.0,6456.0,,8.750207862525711,8.323851131338817,8.67470962929122,8.772920092626467,8.67470962929122,8.537029496932263,8.582922874385249,0.4263567311868943
Ourense,2026,7,,,4120.0,,6311.0,4120.0,5852.0,,,8.750207862525711,8.323851131338817,8.67470962929122,8.323851131338817,,,
Ourense,2026,8,,,6311.0,,,6311.0,4120.0,,,,8.750207862525711,8.323851131338817,8.750207862525711,,,
Palencia,2026,6,,6770.0,6782.0,6770.0,5891.0,6782.0,7437.0,,8.820404065485645,8.681350777582521,8.82217476094608,8.914357274485015,8.82217476094608,8.750877421534083,8.774643201338082,0.1390532879031241
Palencia,2026,7,,,5891.0,,6770.0,5891.0,6782.0,,,8.820404065485645,8.681350777582521,8.82217476094608,8.681350777582521,,,
Palencia,2026,8,,,6770.0,,,6770.0,5891.0,,,,8.820404065485645,8.681350777582521,8.820404065485645,,,
Pontevedra,2026,6,,74718.0,74206.0,74718.0,61321.0,74206.0,77389.0,,11.221489689515522,11.023893948239907,11.21461376432841,11.256612852264505,11.21461376432841,11.122691818877716,11.153332467361281,0.19759574127561486
Pontevedra,2026,7,,,61321.0,,74718.0,61321.0,74206.0,,,11.221489689515522,11.023893948239907,11.21461376432841,11.023893948239907,,,
Pontevedra,2026,8,,,74718.0,,,74718.0,61321.0,,,,11.221489689515522,11.023893948239907,11.221489689515522,,,
Salamanca,2026,6,,50471.0,34072.0,50471.0,42564.0,34072.0,45951.0,,10.829174006050646,10.658787598318158,10.436260560784943,10.735352652407895,10.436260560784943,10.743980802184403,10.641407388384584,0.17038640773248837
